word,input_phrase,concept
fissaggi,"non food items (Materials, tools and fixings)",Transitional housing
mocowania,"non food items (Materials, tools and fixings)",Transitional housing
fixações,"non food items (Materials, tools and fixings)",Transitional housing
short term rental support,Short term rental support,Transitional housing
rental,Short term rental support,Transitional housing
alquiler,Short term rental support,Transitional housing
vermietung,Short term rental support,Transitional housing
affitto,Short term rental support,Transitional housing
aluguel,Short term rental support,Transitional housing
cupón,Short term rental support,Transitional housing
gutschein,Short term rental support,Transitional housing
subsidy,Short term rental support,Transitional housing
subsidio,Short term rental support,Transitional housing
subvention,Short term rental support,Transitional housing
subvention,Short term rental support,Transitional housing
sovvenzione,Short term rental support,Transitional housing
dotacja,Short term rental support,Transitional housing
subsídio,Short term rental support,Transitional housing
transitional housing arrangements,Transitional housing arrangements ,Transitional housing
transitionalhousing,Transitional housing arrangements ,Transitional housing
übergangsunterkunft,Transitional housing arrangements ,Transitional housing
host family support,Host family support,Transitional housing
hostfamily,Host family support,Transitional housing
familia anfitriona,Host family support,Transitional housing
famille d'accueil,Host family support,Transitional housing
gastfamilie,Host family support,Transitional housing
famiglia ospitante,Host family support,Transitional housing
rodzina goszcząca,Host family support,Transitional housing
família anfitriã,Host family support,Transitional housing
habitability assessments,habitability assessments,Transitional housing
habitability,habitability assessments,Transitional housing
habitabilidad,habitability assessments,Transitional housing
habitabilité,habitability assessments,Transitional housing
bewohnbarkeit,habitability assessments,Transitional housing
abitabilità,habitability assessments,Transitional housing
zamieszkalność,habitability assessments,Transitional housing
habitabilidade,habitability assessments,Transitional housing
inspection,habitability assessments,Transitional housing
inspección,habitability assessments,Transitional housing
inspektion,habitability assessments,Transitional housing
ispezione,habitability assessments,Transitional housing
inspekcja,habitability assessments,Transitional housing
inspeção,habitability assessments,Transitional housing
transitional shelter units,Transitional shelter units,Transitional housing
übergangswohnung,Transitional shelter units,Transitional housing
shelter unit,Transitional shelter units,Transitional housing
unidad de refugio,Transitional shelter units,Transitional housing
unité d'abri,Transitional shelter units,Transitional housing
unterkunftseinheit,Transitional shelter units,Transitional housing
unità di rifugio,Transitional shelter units,Transitional housing
jednostka schroniskowa,Transitional shelter units,Transitional housing
unidade de abrigo,Transitional shelter units,Transitional housing
accommodation for immigrants,accommodation for immigrants,Transitional housing
immigranthousing,accommodation for immigrants,Transitional housing
vivienda para inmigrantes,accommodation for immigrants,Transitional housing
logement pour immigrants,accommodation for immigrants,Transitional housing
einwandererunterkunft,accommodation for immigrants,Transitional housing
alloggi per immigrati,accommodation for immigrants,Transitional housing
mieszkania dla imigrantów,accommodation for immigrants,Transitional housing
moradias para imigrantes,accommodation for immigrants,Transitional housing
migrantshelter,accommodation for immigrants,Transitional housing
refugio para migrantes,accommodation for immigrants,Transitional housing
refuge pour migrants,accommodation for immigrants,Transitional housing
migrantenunterkunft,accommodation for immigrants,Transitional housing
rifugio per migranti,accommodation for immigrants,Transitional housing
schronisko dla migrantów,accommodation for immigrants,Transitional housing
abrigo para migrantes,accommodation for immigrants,Transitional housing
short-term leases,short-term leases,Transitional housing
mietvertrag,short-term leases,Transitional housing
long term recovery and reconstruction,long term recovery and reconstruction,Transitional housing
recovery,long term recovery and reconstruction,Transitional housing
recuperación,long term recovery and reconstruction,Transitional housing
rétablissement,long term recovery and reconstruction,Transitional housing
wiederherstellung,long term recovery and reconstruction,Transitional housing
ripristino,long term recovery and reconstruction,Transitional housing
odzyskiwanie,long term recovery and reconstruction,Transitional housing
recuperação,long term recovery and reconstruction,Transitional housing
reconstruction,long term recovery and reconstruction,Transitional housing
reconstrucción,long term recovery and reconstruction,Transitional housing
wiederaufbau,long term recovery and reconstruction,Transitional housing
ricostruzione,long term recovery and reconstruction,Transitional housing
odbudowa,long term recovery and reconstruction,Transitional housing
reconstrução,long term recovery and reconstruction,Transitional housing
shelter for victims of abuse,shelter for victims of abuse,Transitional housing
übergangsunterkunft,shelter for victims of abuse,Transitional housing
domestic violence,shelter for victims of abuse,Transitional housing
violencia doméstica,shelter for victims of abuse,Transitional housing
violence domestique,shelter for victims of abuse,Transitional housing
häusliche gewalt,shelter for victims of abuse,Transitional housing
violenza domestica,shelter for victims of abuse,Transitional housing
przemoc domowa,shelter for victims of abuse,Transitional housing
violência doméstica,shelter for victims of abuse,Transitional housing
victim shelter,shelter for victims of abuse,Transitional housing
refugio para víctimas,shelter for victims of abuse,Transitional housing
refuge pour victimes,shelter for victims of abuse,Transitional housing
opferunterkunft,shelter for victims of abuse,Transitional housing
rifugio per vittime,shelter for victims of abuse,Transitional housing
schronisko dla ofiar,shelter for victims of abuse,Transitional housing
abrigo para vítimas,shelter for victims of abuse,Transitional housing
asylum claimant shelter,asylum claimant shelter,Transitional housing
asylum,asylum claimant shelter,Transitional housing
asilo,asylum claimant shelter,Transitional housing
asile,asylum claimant shelter,Transitional housing
asyl,asylum claimant shelter,Transitional housing
azyl,asylum claimant shelter,Transitional housing
single room occupancy,single room occupancy,Transitional housing
roominghouse,single room occupancy,Transitional housing
pensión,single room occupancy,Transitional housing
pension,single room occupancy,Transitional housing
pension,single room occupancy,Transitional housing
pensione,single room occupancy,Transitional housing
pensjonat,single room occupancy,Transitional housing
pensão,single room occupancy,Transitional housing
sro,single room occupancy,Transitional housing
sro,single room occupancy,Transitional housing
sro,single room occupancy,Transitional housing
sro,single room occupancy,Transitional housing
sro,single room occupancy,Transitional housing
sro,single room occupancy,Transitional housing
sro,single room occupancy,Transitional housing
rooming houses,rooming houses,Transitional housing
boardinghouse,rooming houses,Transitional housing
pension,rooming houses,Transitional housing
cash transfers for housing,Cash transfers for housing,Transitional housing
sussidio,Cash transfers for housing,Transitional housing
cash transfers for shelter,Cash transfers for shelter,Transitional housing
gutschein,Cash transfers for shelter,Transitional housing
shelter costs,shelter costs,Transitional housing
shelter-costs,shelter costs,Transitional housing
costos-albergue,shelter costs,Transitional housing
couts-abri,shelter costs,Transitional housing
unterkunftskosten,shelter costs,Transitional housing
costi-rifugio,shelter costs,Transitional housing
koszty-schroniska,shelter costs,Transitional housing
custos-abrigo,shelter costs,Transitional housing
progressive housing,Progressive housing ,Incremental housing
incremental,Progressive housing ,Incremental housing
incrémental,Progressive housing ,Incremental housing
inkrementell,Progressive housing ,Incremental housing
incrementale,Progressive housing ,Incremental housing
przyrostowy,Progressive housing ,Incremental housing
provision of basic services,provision of basic services,Incremental housing
water,provision of basic services,Incremental housing
agua,provision of basic services,Incremental housing
eau,provision of basic services,Incremental housing
wasser,provision of basic services,Incremental housing
acqua,provision of basic services,Incremental housing
woda,provision of basic services,Incremental housing
água,provision of basic services,Incremental housing
elektrizität,provision of basic services,Incremental housing
drainage,provision of basic services,Incremental housing
drenaje,provision of basic services,Incremental housing
entwässerung,provision of basic services,Incremental housing
drenaggio,provision of basic services,Incremental housing
odwodnienie,provision of basic services,Incremental housing
drenagem,provision of basic services,Incremental housing
housing condition improvements,housing condition improvements,Incremental housing
rétrofit,housing condition improvements,Incremental housing
nachrüstung,housing condition improvements,Incremental housing
extension,housing condition improvements,Incremental housing
ampliación,housing condition improvements,Incremental housing
erweiterung,housing condition improvements,Incremental housing
ampliamento,housing condition improvements,Incremental housing
rozbudowa,housing condition improvements,Incremental housing
ampliação,housing condition improvements,Incremental housing
retrofits of buildings and infrastructure,retrofits of buildings and infrastructure,Incremental housing
nachrüstung,retrofits of buildings and infrastructure,Incremental housing
preservation,preservation,Incremental housing
nachrüstung,preservation,Incremental housing
rehabilitation,preservation,Incremental housing
rehabilitación,preservation,Incremental housing
réhabilitation,preservation,Incremental housing
sanierung,preservation,Incremental housing
riabilitazione,preservation,Incremental housing
rehabilitacja,preservation,Incremental housing
reabilitação,preservation,Incremental housing
repurpose housing,repurpose housing,Incremental housing
retrofitting,repurpose housing,Incremental housing
reacondicionamiento,repurpose housing,Incremental housing
nachrüstung,repurpose housing,Incremental housing
riqualificazione,repurpose housing,Incremental housing
modernizacja,repurpose housing,Incremental housing
conversion,repurpose housing,Incremental housing
conversión,repurpose housing,Incremental housing
umnutzung,repurpose housing,Incremental housing
conversione,repurpose housing,Incremental housing
konwersja,repurpose housing,Incremental housing
conversão,repurpose housing,Incremental housing
core housing,Core housing,Incremental housing
vivienda núcleo,Core housing,Incremental housing
logement noyau,Core housing,Incremental housing
kernhaus,Core housing,Incremental housing
abitazione nucleo,Core housing,Incremental housing
mieszkanie rdzeniowe,Core housing,Incremental housing
habitação núcleo,Core housing,Incremental housing
structural retrofit,Structural retrofit,Incremental housing
hazard risk reduction,hazard risk reduction,Incremental housing
nachrüstung,hazard risk reduction,Incremental housing
floodproofing,hazard risk reduction,Incremental housing
impermeabilización contra inundaciones,hazard risk reduction,Incremental housing
protection anti-inondation,hazard risk reduction,Incremental housing
hochwasserschutz,hazard risk reduction,Incremental housing
protezione dalle inondazioni,hazard risk reduction,Incremental housing
ochrona przeciwpowodziowa,hazard risk reduction,Incremental housing
proteção contra inundações,hazard risk reduction,Incremental housing
waste management for housing,Waste management for housing,Incremental housing
greywater,Waste management for housing,Incremental housing
aguas grises,Waste management for housing,Incremental housing
eaux grises,Waste management for housing,Incremental housing
grauwasser,Waste management for housing,Incremental housing
acque grigie,Waste management for housing,Incremental housing
wody szare,Waste management for housing,Incremental housing
águas cinzentas,Waste management for housing,Incremental housing
latrine,Waste management for housing,Incremental housing
letrina,Waste management for housing,Incremental housing
latrine,Waste management for housing,Incremental housing
latrina,Waste management for housing,Incremental housing
latryna,Waste management for housing,Incremental housing
wastewater,Waste management for housing,Incremental housing
aguas residuales,Waste management for housing,Incremental housing
eaux usées,Waste management for housing,Incremental housing
abwasser,Waste management for housing,Incremental housing
acque reflue,Waste management for housing,Incremental housing
ścieki,Waste management for housing,Incremental housing
águas residuais,Waste management for housing,Incremental housing
regularization of housing/building,regularization of housing/building,Incremental housing
regularization,regularization of housing/building,Incremental housing
regularización,regularization of housing/building,Incremental housing
régularisation,regularization of housing/building,Incremental housing
regularisierung,regularization of housing/building,Incremental housing
regolarizzazione,regularization of housing/building,Incremental housing
uregularyzacja,regularization of housing/building,Incremental housing
regularização,regularization of housing/building,Incremental housing
legalization,regularization of housing/building,Incremental housing
legalización,regularization of housing/building,Incremental housing
légalisation,regularization of housing/building,Incremental housing
legalisierung,regularization of housing/building,Incremental housing
legalizzazione,regularization of housing/building,Incremental housing
legalizacja,regularization of housing/building,Incremental housing
legalização,regularization of housing/building,Incremental housing
formalization,regularization of housing/building,Incremental housing
formalización,regularization of housing/building,Incremental housing
formalisation,regularization of housing/building,Incremental housing
formalisierung,regularization of housing/building,Incremental housing
formalizzazione,regularization of housing/building,Incremental housing
formalizacja,regularization of housing/building,Incremental housing
formalização,regularization of housing/building,Incremental housing
legalization of  housing/building,legalization of  housing/building,Incremental housing
legalisierung,legalization of  housing/building,Incremental housing
regularisierung,legalization of  housing/building,Incremental housing
uregulowanie,legalization of  housing/building,Incremental housing
permit,legalization of  housing/building,Incremental housing
permiso,legalization of  housing/building,Incremental housing
permis,legalization of  housing/building,Incremental housing
genehmigung,legalization of  housing/building,Incremental housing
permesso,legalization of  housing/building,Incremental housing
pozwolenie,legalization of  housing/building,Incremental housing
licença,legalization of  housing/building,Incremental housing
zoning,legalization of  housing/building,Incremental housing
zonificación,legalization of  housing/building,Incremental housing
zonage,legalization of  housing/building,Incremental housing
zonierung,legalization of  housing/building,Incremental housing
zonizzazione,legalization of  housing/building,Incremental housing
strefowanie,legalization of  housing/building,Incremental housing
zoneamento,legalization of  housing/building,Incremental housing
land regularization,Land regularization,Incremental housing
tenure,Land regularization,Incremental housing
posesión,Land regularization,Incremental housing
possession,Land regularization,Incremental housing
besitz,Land regularization,Incremental housing
possesso,Land regularization,Incremental housing
posiadanie,Land regularization,Incremental housing
posse,Land regularization,Incremental housing
titling,Land regularization,Incremental housing
titulación,Land regularization,Incremental housing
titularisation,Land regularization,Incremental housing
titulierung,Land regularization,Incremental housing
titolazione,Land regularization,Incremental housing
tytułowanie,Land regularization,Incremental housing
titulação,Land regularization,Incremental housing
land titling,Land titling,Incremental housing
title,Land titling,Incremental housing
título,Land titling,Incremental housing
titre,Land titling,Incremental housing
eigentumstitel,Land titling,Incremental housing
titolo,Land titling,Incremental housing
tytuł,Land titling,Incremental housing
formalization of housing/building,formalization of housing/building,Incremental housing
formalisierung,formalization of housing/building,Incremental housing
regularisierung,formalization of housing/building,Incremental housing
regularizacja,formalization of housing/building,Incremental housing
legalisierung,formalization of housing/building,Incremental housing
formalization of land,formalization of land,Incremental housing
titelerteilung,formalization of land,Incremental housing
titolarizzazione,formalization of land,Incremental housing
regularisierung,formalization of land,Incremental housing
regularyzacja,formalization of land,Incremental housing
land incorporation,land incorporation ,Incremental housing
terreno,land incorporation ,Incremental housing
terrain,land incorporation ,Incremental housing
land,land incorporation ,Incremental housing
grunt,land incorporation ,Incremental housing
incorporation,land incorporation ,Incremental housing
incorporación,land incorporation ,Incremental housing
eingliederung,land incorporation ,Incremental housing
incorporazione,land incorporation ,Incremental housing
włączenie,land incorporation ,Incremental housing
incorporação,land incorporation ,Incremental housing
land readjustment,land readjustment ,Incremental housing
land-readjustment,land readjustment ,Incremental housing
readjuste de tierras,land readjustment ,Incremental housing
réaménagement foncier,land readjustment ,Incremental housing
landumlegung,land readjustment ,Incremental housing
riorganizzazione fondiaria,land readjustment ,Incremental housing
scalanie gruntów,land readjustment ,Incremental housing
remembramento,land readjustment ,Incremental housing
in-situ housing improvements,In-situ housing improvements,Incremental housing
in-situ,In-situ housing improvements,Incremental housing
in situ,In-situ housing improvements,Incremental housing
upgrading,In-situ housing improvements,Incremental housing
mejora,In-situ housing improvements,Incremental housing
amélioration,In-situ housing improvements,Incremental housing
aufwertung,In-situ housing improvements,Incremental housing
miglioramento,In-situ housing improvements,Incremental housing
ulepszenie,In-situ housing improvements,Incremental housing
melhoria,In-situ housing improvements,Incremental housing
land tenure,land tenure ,Incremental housing
tenencia de la tierra,land tenure ,Incremental housing
tenure foncière,land tenure ,Incremental housing
bodenrecht,land tenure ,Incremental housing
regime fondiario,land tenure ,Incremental housing
system użytkowania ziemi,land tenure ,Incremental housing
regime fundiário,land tenure ,Incremental housing
permanent repairs,permanent repairs,Incremental housing
renovation,permanent repairs,Incremental housing
renovación,permanent repairs,Incremental housing
rénovation,permanent repairs,Incremental housing
renovierung,permanent repairs,Incremental housing
ristrutturazione,permanent repairs,Incremental housing
renowacja,permanent repairs,Incremental housing
renovação,permanent repairs,Incremental housing
enumerations,enumerations,Incremental housing
census,enumerations,Incremental housing
censo,enumerations,Incremental housing
recensement,enumerations,Incremental housing
volkszählung,enumerations,Incremental housing
censimento,enumerations,Incremental housing
spis ludności,enumerations,Incremental housing
survey,enumerations,Incremental housing
encuesta,enumerations,Incremental housing
enquête,enumerations,Incremental housing
umfrage,enumerations,Incremental housing
indagine,enumerations,Incremental housing
ankieta,enumerations,Incremental housing
pesquisa,enumerations,Incremental housing
settlement planning,settlement planning,Incremental housing
siteplanning,settlement planning,Incremental housing
planificación de sitios,settlement planning,Incremental housing
planification de site,settlement planning,Incremental housing
standortplanung,settlement planning,Incremental housing
pianificazione del sito,settlement planning,Incremental housing
planowanie terenu,settlement planning,Incremental housing
planejamento do terreno,settlement planning,Incremental housing
urbanplanning,settlement planning,Incremental housing
planificación urbana,settlement planning,Incremental housing
planification urbaine,settlement planning,Incremental housing
stadtplanung,settlement planning,Incremental housing
pianificazione urbana,settlement planning,Incremental housing
planowanie miejskie,settlement planning,Incremental housing
planejamento urbano,settlement planning,Incremental housing
redevelopment,redevelopment ,Incremental housing
reurbanización,redevelopment ,Incremental housing
réaménagement,redevelopment ,Incremental housing
stadterneuerung,redevelopment ,Incremental housing
rewitalizacja,redevelopment ,Incremental housing
revitalização,redevelopment ,Incremental housing
resettlement,resettlement,Incremental housing
neuansiedlung,resettlement,Incremental housing
rehousing,resettlement,Incremental housing
realojamiento,resettlement,Incremental housing
relogement,resettlement,Incremental housing
wiederunterbringung,resettlement,Incremental housing
riallogamento,resettlement,Incremental housing
przezakwaterowanie,resettlement,Incremental housing
realojamento,resettlement,Incremental housing
relocation,relocation,Incremental housing
umsiedlung,relocation,Incremental housing
ricollocazione,relocation,Incremental housing
realocação,relocation,Incremental housing
rehabitalization,rehabitalization,Incremental housing
sanierung,rehabitalization,Incremental housing
renovierung,rehabitalization,Incremental housing
home expansion,home expansion,Incremental housing
expansion,home expansion,Incremental housing
agrandissement,home expansion,Incremental housing
erweiterung,home expansion,Incremental housing
extensión,home expansion,Incremental housing
erweiterung,home expansion,Incremental housing
estensione,home expansion,Incremental housing
extensão,home expansion,Incremental housing
module,home expansion,Incremental housing
módulo,home expansion,Incremental housing
modul,home expansion,Incremental housing
modulo,home expansion,Incremental housing
moduł,home expansion,Incremental housing
incrémentiel,home expansion,Incremental housing
support for construction material suppliers,support for construction material suppliers,Incremental housing
microfinance,support for construction material suppliers,Incremental housing
microfinanzas,support for construction material suppliers,Incremental housing
mikrofinanzierung,support for construction material suppliers,Incremental housing
microfinanza,support for construction material suppliers,Incremental housing
mikrofinansowanie,support for construction material suppliers,Incremental housing
microfinanças,support for construction material suppliers,Incremental housing
masonry,support for construction material suppliers,Incremental housing
albañilería,support for construction material suppliers,Incremental housing
maçonnerie,support for construction material suppliers,Incremental housing
mauerwerk,support for construction material suppliers,Incremental housing
muratura,support for construction material suppliers,Incremental housing
murarstwo,support for construction material suppliers,Incremental housing
alvenaria,support for construction material suppliers,Incremental housing
prefabrication,support for construction material suppliers,Incremental housing
prefabricación,support for construction material suppliers,Incremental housing
préfabrication,support for construction material suppliers,Incremental housing
vorfertigung,support for construction material suppliers,Incremental housing
prefabbricazione,support for construction material suppliers,Incremental housing
prefabrykacja,support for construction material suppliers,Incremental housing
pré-fabricação,support for construction material suppliers,Incremental housing
materials and tools vouchers,materials and tools vouchers,Incremental housing
gutschein,materials and tools vouchers,Incremental housing
construction,materials and tools vouchers,Incremental housing
construcción,materials and tools vouchers,Incremental housing
bau,materials and tools vouchers,Incremental housing
costruzione,materials and tools vouchers,Incremental housing
budownictwo,materials and tools vouchers,Incremental housing
construção,materials and tools vouchers,Incremental housing
construction skills training,Construction skills training,Incremental housing
maurerarbeit,Construction skills training,Incremental housing
carpentry,Construction skills training,Incremental housing
carpintería,Construction skills training,Incremental housing
menuiserie,Construction skills training,Incremental housing
zimmerei,Construction skills training,Incremental housing
carpenteria,Construction skills training,Incremental housing
stolarstwo,Construction skills training,Incremental housing
carpintaria,Construction skills training,Incremental housing
plumbing,Construction skills training,Incremental housing
fontanería,Construction skills training,Incremental housing
plomberie,Construction skills training,Incremental housing
sanitärinstallation,Construction skills training,Incremental housing
idraulica,Construction skills training,Incremental housing
hydraulika,Construction skills training,Incremental housing
canalização,Construction skills training,Incremental housing
wiring,Construction skills training,Incremental housing
cableado,Construction skills training,Incremental housing
câblage,Construction skills training,Incremental housing
verkabelung,Construction skills training,Incremental housing
cablaggio,Construction skills training,Incremental housing
okablowanie,Construction skills training,Incremental housing
cabeamento,Construction skills training,Incremental housing
community-level water and sanitation (watsan) infrastructure,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
watsan,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
watsan,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
watsan,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
watsan,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
watsan,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
watsan,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
watsan,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
borehole,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
pozo perforado,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
forage,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
bohrloch,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
pozzo trivellato,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
odwiert,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
furo de sondagem,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
handpump,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
bomba manual,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
pompe à main,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
handpumpe,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
pompa a mano,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
pompa ręczna,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
latrine,Community-level water and sanitation (WatSan) infrastructure ,Incremental housing
"street, roads and sidewalks","Street, roads and sidewalks",Incremental housing
street,"Street, roads and sidewalks",Incremental housing
calle,"Street, roads and sidewalks",Incremental housing
rue,"Street, roads and sidewalks",Incremental housing
straße,"Street, roads and sidewalks",Incremental housing
strada,"Street, roads and sidewalks",Incremental housing
ulica,"Street, roads and sidewalks",Incremental housing
rua,"Street, roads and sidewalks",Incremental housing
road,"Street, roads and sidewalks",Incremental housing
carretera,"Street, roads and sidewalks",Incremental housing
route,"Street, roads and sidewalks",Incremental housing
straße,"Street, roads and sidewalks",Incremental housing
droga,"Street, roads and sidewalks",Incremental housing
estrada,"Street, roads and sidewalks",Incremental housing
sidewalk,"Street, roads and sidewalks",Incremental housing
acera,"Street, roads and sidewalks",Incremental housing
trottoir,"Street, roads and sidewalks",Incremental housing
bürgersteig,"Street, roads and sidewalks",Incremental housing
marciapiede,"Street, roads and sidewalks",Incremental housing
chodnik,"Street, roads and sidewalks",Incremental housing
calçada,"Street, roads and sidewalks",Incremental housing
small drainage construction and repairs,Small drainage construction and repairs,Incremental housing
entwässerung,Small drainage construction and repairs,Incremental housing
drenaż,Small drainage construction and repairs,Incremental housing
trench,Small drainage construction and repairs,Incremental housing
zanja,Small drainage construction and repairs,Incremental housing
tranchée,Small drainage construction and repairs,Incremental housing
graben,Small drainage construction and repairs,Incremental housing
trincea,Small drainage construction and repairs,Incremental housing
rów,Small drainage construction and repairs,Incremental housing
trincheira,Small drainage construction and repairs,Incremental housing
repair,Small drainage construction and repairs,Incremental housing
reparación,Small drainage construction and repairs,Incremental housing
réparation,Small drainage construction and repairs,Incremental housing
reparatur,Small drainage construction and repairs,Incremental housing
riparazione,Small drainage construction and repairs,Incremental housing
naprawa,Small drainage construction and repairs,Incremental housing
reparação,Small drainage construction and repairs,Incremental housing
construction technical assistance,Construction technical assistance,Incremental housing
bau,Construction technical assistance,Incremental housing
budowa,Construction technical assistance,Incremental housing
"legal advice for housing, land and property (hlp)","Legal advice for Housing, Land and Property (HLP) ",Incremental housing
zwangsräumung,"Legal advice for Housing, Land and Property (HLP) ",Incremental housing
expropriation,"Legal advice for Housing, Land and Property (HLP) ",Incremental housing
expropiación,"Legal advice for Housing, Land and Property (HLP) ",Incremental housing
enteignung,"Legal advice for Housing, Land and Property (HLP) ",Incremental housing
espropriazione,"Legal advice for Housing, Land and Property (HLP) ",Incremental housing
wywłaszczenie,"Legal advice for Housing, Land and Property (HLP) ",Incremental housing
expropriação,"Legal advice for Housing, Land and Property (HLP) ",Incremental housing
titel,"Legal advice for Housing, Land and Property (HLP) ",Incremental housing
sites and services,sites and services,Incremental housing
plot,sites and services,Incremental housing
parcela,sites and services,Incremental housing
parcelle,sites and services,Incremental housing
parzelle,sites and services,Incremental housing
lotto,sites and services,Incremental housing
działka,sites and services,Incremental housing
lote,sites and services,Incremental housing
infrastructure,sites and services,Incremental housing
infraestructura,sites and services,Incremental housing
infrastruktur,sites and services,Incremental housing
infrastruttura,sites and services,Incremental housing
infrastruktura,sites and services,Incremental housing
infraestrutura,sites and services,Incremental housing
plots,plots,Incremental housing
parzelle,plots,Incremental housing
particella,plots,Incremental housing
parcel,plots,Incremental housing
parzelle,plots,Incremental housing
urban integration,urban integration,Incremental housing
densification,urban integration,Incremental housing
densificación,urban integration,Incremental housing
verdichtung,urban integration,Incremental housing
densificazione,urban integration,Incremental housing
zagęszczenie,urban integration,Incremental housing
adensamento,urban integration,Incremental housing
permeability,urban integration,Incremental housing
permeabilidad,urban integration,Incremental housing
perméabilité,urban integration,Incremental housing
durchlässigkeit,urban integration,Incremental housing
permeabilità,urban integration,Incremental housing
przepuszczalność,urban integration,Incremental housing
permeabilidade,urban integration,Incremental housing
infrastructure for housing developments,infrastructure for housing developments,Incremental housing
infrastruktur,infrastructure for housing developments,Incremental housing
wohnungsbau,infrastructure for housing developments,Incremental housing
transit oriented housing,transit oriented housing,Incremental housing
transit,transit oriented housing,Incremental housing
tránsito,transit oriented housing,Incremental housing
transit,transit oriented housing,Incremental housing
transito,transit oriented housing,Incremental housing
tranzyt,transit oriented housing,Incremental housing
trânsito,transit oriented housing,Incremental housing
wohnung,transit oriented housing,Incremental housing
housing densification,housing densification,Incremental housing
verdichtung,housing densification,Incremental housing
densificação,housing densification,Incremental housing
intensification,housing densification,Incremental housing
intensificación,housing densification,Incremental housing
intensivierung,housing densification,Incremental housing
intensificazione,housing densification,Incremental housing
intensyfikacja,housing densification,Incremental housing
intensificação,housing densification,Incremental housing
urban sprawl,urban sprawl,Incremental housing
suburbanization,urban sprawl,Incremental housing
suburbanización,urban sprawl,Incremental housing
suburbanisation,urban sprawl,Incremental housing
suburbanisierung,urban sprawl,Incremental housing
suburbanizzazione,urban sprawl,Incremental housing
suburbanizacja,urban sprawl,Incremental housing
suburbanização,urban sprawl,Incremental housing
periurbanization,urban sprawl,Incremental housing
periurbanización,urban sprawl,Incremental housing
périurbanisation,urban sprawl,Incremental housing
periurbanisierung,urban sprawl,Incremental housing
periurbanizzazione,urban sprawl,Incremental housing
periurbanizacja,urban sprawl,Incremental housing
periurbanização,urban sprawl,Incremental housing
renovations,renovations,Incremental housing
nachrüstung,renovations,Incremental housing
refurbishment,renovations,Incremental housing
renovierung,renovations,Incremental housing
remont,renovations,Incremental housing
reforma,renovations,Incremental housing
erweiterung,renovations,Incremental housing
espansione,renovations,Incremental housing
expansão,renovations,Incremental housing
structural need of repair,structural need of repair,Incremental housing
cracks,structural need of repair,Incremental housing
grietas,structural need of repair,Incremental housing
fissures,structural need of repair,Incremental housing
risse,structural need of repair,Incremental housing
fessure,structural need of repair,Incremental housing
pęknięcia,structural need of repair,Incremental housing
fissuras,structural need of repair,Incremental housing
foundation,structural need of repair,Incremental housing
cimentación,structural need of repair,Incremental housing
fondation,structural need of repair,Incremental housing
fundament,structural need of repair,Incremental housing
fondazione,structural need of repair,Incremental housing
fundação,structural need of repair,Incremental housing
mampostería,structural need of repair,Incremental housing
mauerwerk,structural need of repair,Incremental housing
plastic recycling for housing,plastic recycling for housing,Incremental housing
ecobrick,plastic recycling for housing,Incremental housing
ecoladrillo,plastic recycling for housing,Incremental housing
écobrique,plastic recycling for housing,Incremental housing
ökoziegel,plastic recycling for housing,Incremental housing
ecomattone,plastic recycling for housing,Incremental housing
ekocegła,plastic recycling for housing,Incremental housing
ecotijolo,plastic recycling for housing,Incremental housing
agricultural waste recycling for housing,Agricultural waste recycling for housing ,Incremental housing
agriwaste,Agricultural waste recycling for housing ,Incremental housing
residuos agrícolas,Agricultural waste recycling for housing ,Incremental housing
déchets agricoles,Agricultural waste recycling for housing ,Incremental housing
landwirtschaftsabfälle,Agricultural waste recycling for housing ,Incremental housing
rifiuti agricoli,Agricultural waste recycling for housing ,Incremental housing
odpady rolnicze,Agricultural waste recycling for housing ,Incremental housing
resíduos agrícolas,Agricultural waste recycling for housing ,Incremental housing
bagasse,Agricultural waste recycling for housing ,Incremental housing
bagazo,Agricultural waste recycling for housing ,Incremental housing
bagasse,Agricultural waste recycling for housing ,Incremental housing
bagassa,Agricultural waste recycling for housing ,Incremental housing
bagasa,Agricultural waste recycling for housing ,Incremental housing
